symptoms_text,disease_id
"moderate skin rash, high fever, moderate joint pain",5
"severe muscle stiffness, mild tremors, moderate slow movement, balance problems",29
"moderate itching, moderate weight loss, mild jaundice",48
"severe weight gain, persistent acne, excess hair growth",39
"moderate high fever, severe bleeding gums, severe joint pain",5
"persistent fatigue, mild dark urine, moderate yellowing of skin, moderate pale stools",53
"moderate weight loss, persistent persistent abdominal pain, loss of appetite",47
"weakness, tooth loss, severe joint pain",34
"mild chills, persistent sore throat, moderate body pain, mild fever",14
"mild muscle stiffness, mild balance problems, moderate tremors, severe slow movement",29
"severe joint pain, severe tooth loss, moderate bleeding gums",34
"severe anal pain, mild bleeding during bowel movements, moderate itching",50
"severe fever, severe night sweats, moderate weight loss",3
"severe fatigue, pale stools",53
"severe joint pain, persistent rash, moderate fever, mild red eyes",37
"severe fever, mild chronic cough, persistent night sweats, mild chest pain",3
"leg cramps, severe watery diarrhea, mild severe dehydration",9
"persistent abdominal swelling, severe fatigue, severe confusion",25
"moderate breast lump, moderate breast pain, severe skin changes, persistent nipple discharge",30
"severe blurred vision, mild distorted vision",11
"moderate frequent urination, mild blurred vision, severe slow wound healing",1
"mild difficulty swallowing, severe oral pain, severe mouth ulcers",46
"moderate weight loss, mild fatigue, moderate night sweats",45
"moderate headache, severe nasal congestion, moderate facial pain",17
"mouth ulcers, mild oral pain",46
"mild abnormal bleeding, severe pelvic pain, persistent pain during intercourse",31
"moderate chest pain, weight loss, persistent cough, mild shortness of breath",49
"severe frequent urination, moderate burning urination",32
"persistent leg cramps, vomiting",9
"cough, fever, moderate body pain, persistent sore throat",14
"mild joint pain, mild reduced mobility, severe stiffness, moderate swelling",21
"moderate bloating, hard stools, moderate abdominal discomfort",16
"mild joint pain, mild rash, severe red eyes, severe fever",37
"severe weight gain, severe upper abdominal pain, persistent fatigue",20
"heavy bleeding, severe pelvic pain, severe painful periods",43
"moderate abdominal swelling, mild fatigue, easy bruising",25
"persistent bloating, persistent hard stools",16
"severe diarrhea, moderate weakness, mild loss of appetite, persistent fever, mild abdominal pain",6
"moderate nausea, persistent abdominal cramps, severe loose stools",7
"moderate pelvic pain, severe burning urination, mild frequent urination",32
"weight gain, moderate irregular periods, moderate excess hair growth, acne",39
"mild nausea, fatigue, persistent loss of appetite",24
"severe watery diarrhea, severe dehydration, vomiting",9
"severe loss of appetite, persistent fatigue, persistent jaundice",24
"mild nausea, burning stomach pain",27
"moderate red patches, persistent itchy skin",51
"moderate weight gain, persistent excess hair growth, severe irregular periods",39
"persistent facial pain, moderate nasal congestion",17
"moderate tooth loss, severe bleeding gums, severe weakness",34
"persistent dizziness, severe shortness of breath, persistent headache",2
"severe chest pain, mild fatigue, persistent productive cough",15
"eye discharge, mild gritty sensation, itching",12
"itchy skin, severe scaling, mild dry skin, severe red patches",51
shortness of breath,13
"moderate fatigue, severe dark urine, mild pale stools, persistent yellowing of skin",53
"mild eye discharge, severe gritty sensation, moderate itching",12
"moderate skin changes, mild breast lump, severe breast pain, severe nipple discharge",30
"persistent difficulty thinking, mild confusion, persistent personality changes",26
"mild itching, severe circular rash, moderate hair loss",35
"moderate confusion, severe headache, severe fever",36
"moderate vomiting, severe confusion, moderate fever",36
"severe weight loss, persistent stunted growth",8
"mild red eyes, moderate rash, persistent joint pain",37
"mild liver discomfort, mild fatigue, mild weight gain",20
"joint pain, mild stiffness",21
"abdominal discomfort, moderate bloating",16
burning stomach pain,27
"persistent cold intolerance, moderate dry skin, mild weight gain",40
"wheezing, persistent shortness of breath",13
"mild skin redness, moderate ring shaped rash, severe itching",19
"severe chest tightness, moderate coughing, mild wheezing",13
"moderate skin inflammation, moderate blackheads, persistent pimples",52
"persistent frequent urination, mild slow wound healing, excessive thirst, persistent fatigue",1
"severe heartburn, mild stomach pain, mild nausea",28
"persistent weight loss, moderate poor appetite",8
"persistent abdominal pain, mild weakness, moderate fever, mild loss of appetite",6
"persistent nausea, severe loss of appetite",24
"mild night sweats, moderate frequent infections, mild weight loss",45
"severe pelvic pain, persistent painful periods, severe heavy bleeding",43
"persistent nausea, mild indigestion, mild burning stomach pain",27
"persistent tooth loss, severe weakness",34
"severe abdominal pain, persistent dark urine, moderate jaundice, fatigue",23
"severe yellowing of skin, persistent dark urine, persistent pale stools, moderate fatigue",53
"mild fever, difficulty breathing, moderate productive cough",15
"mild confusion, mild fatigue",25
"mild fever, moderate productive cough, moderate difficulty breathing",15
"moderate fever, severe loss of appetite, abdominal pain, moderate weakness",6
"persistent weight loss, severe loss of appetite",47
burning urination,32
"mild sore throat, mild fever",14
"severe dry skin, severe itchy skin, severe red patches, persistent scaling",51
"persistent abdominal swelling, confusion, moderate fatigue, mild easy bruising",25
"moderate diarrhea, severe stomach cramps, persistent vomiting, moderate nausea",18
"confusion, moderate dizziness, mild dry skin",22
"persistent confusion, moderate fatigue, easy bruising",25
"weight gain, severe cold intolerance",40
"moderate stunted growth, fatigue, weight loss",8
"severe facial pain, severe headache",17
"blurred vision, persistent frequent urination, persistent fatigue, excessive thirst, slow wound healing",1
"persistent headache, nosebleeds, persistent shortness of breath",2
"chills, severe fever, severe headache",38
"pelvic pain, frequent urination",32
"persistent confusion, persistent fatigue, severe abdominal swelling",25
"persistent rash, persistent joint pain, moderate muscle pain, moderate high fever",4
"moderate loose stools, persistent abdominal cramps, dehydration",7
"severe excessive thirst, mild frequent urination, moderate blurred vision, persistent fatigue",1
"persistent severe headache, severe high fever, severe bleeding gums, mild joint pain",5
"persistent skin rash, mild fatigue",33
"persistent frequent infections, mild night sweats, mild fatigue",45
"mild confusion, severe personality changes, severe memory loss",26
"persistent fatigue, persistent weight gain, severe liver discomfort",20
"itching, mild hair loss, circular rash",35
"persistent nausea, mild diarrhea, moderate vomiting, stomach cramps",18
"persistent confusion, severe dizziness, persistent dry skin",22
"persistent fatigue, persistent fever, moderate joint pain, severe skin rash",33
"mild rash, mild fever, moderate joint pain",37
"persistent jaundice, moderate abdominal swelling",48
"loss of appetite, mild nausea, mild fatigue",24
"red eyes, persistent eye discharge, persistent gritty sensation",12
"persistent weight gain, persistent dry skin, fatigue, mild cold intolerance",40
"shortness of breath, pale skin, moderate rapid heartbeat",0
"persistent nausea, mild indigestion",27
"rapid heartbeat, mild fatigue, persistent weakness",0
"persistent nausea, mild indigestion",27
"wheezing, fatigue, severe shortness of breath",42
"mild diarrhea, vomiting",18
"mild fatigue, mild weight loss, severe frequent infections, persistent night sweats",45
"fatigue, mild productive cough, persistent fever",15
"severe nausea, persistent stomach pain, mild heartburn",28
"persistent confusion, severe dry skin",22
"wheezing, persistent chronic cough, persistent shortness of breath, persistent fatigue",42
"persistent leg cramps, vomiting, watery diarrhea",9
"mild headache, persistent rash, muscle pain, severe joint pain",4
"moderate blurred vision, severe vision loss, moderate distorted vision, severe difficulty seeing",11
"persistent high fever, persistent headache, muscle pain, mild rash",4
"moderate mouth ulcers, mild difficulty swallowing, moderate oral pain",46
"persistent thirst, moderate reduced urination, dark urine, dry mouth",10
"cold intolerance, weight gain",40
"fatigue, severe fever, moderate difficulty breathing, mild chest pain",15
"dizziness, severe shortness of breath, mild fatigue, moderate weakness",0
"moderate fever, severe fatigue, moderate skin rash",33
"productive cough, persistent difficulty breathing",15
"persistent fever, moderate cough, persistent sore throat",14
"mild fever, moderate skin rash, severe fatigue",33
"moderate slow movement, muscle stiffness, severe balance problems",29
"persistent weight loss, persistent night sweats, persistent fatigue",45
"persistent wheezing, severe fatigue",42
"moderate fever, fatigue, persistent joint pain",33
"jaundice, dark urine, abdominal pain",23
"persistent sore throat, severe chills, mild fever, body pain, persistent cough",14
"severe weakness, persistent loss of appetite",6
"severe pale stools, persistent dark urine, mild fatigue, mild yellowing of skin",53
"persistent nosebleeds, persistent chest pain, mild shortness of breath",2
"moderate high fever, mild joint pain, rash",4
"severe confusion, persistent fever, vomiting",36
"persistent anal pain, itching, mild bleeding during bowel movements",50
moderate stiffness,21
"mild frequent infections, persistent weight loss, fatigue, severe night sweats",45
"moderate heartburn, severe bloating, stomach pain, persistent nausea",28
"persistent severe headache, persistent bleeding gums, severe joint pain",5
"moderate pale stools, persistent fatigue, severe yellowing of skin",53
"mild fatigue, mild poor appetite, weight loss, severe stunted growth",8
"severe weight loss, moderate palpitations, tremors",41
"persistent burning urination, moderate frequent urination, pelvic pain",32
"mild chills, moderate cough",14
"moderate fever, joint pain, skin rash",33
severe blurred vision,11
"persistent jaundice, persistent fatigue, mild dark urine",23
"mild thirst, severe dry mouth, severe dark urine",10
"persistent rash, mild joint pain, severe high fever",4
"moderate muscle pain, severe joint pain, headache",4
"moderate stomach pain, bloating",28
"persistent fever, persistent chills, persistent muscle pain",38
"severe cough, persistent fever, severe sore throat",14
"mild fever, mild fatigue, mild skin rash",33
"moderate painful periods, severe heavy bleeding, severe pelvic pain",43
"mild jaundice, severe loss of appetite",24
"mild circular rash, mild scaly skin, severe hair loss, severe itching",35
balance problems,29
"watery diarrhea, severe severe dehydration, persistent vomiting, moderate leg cramps",9
"severe joint pain, severe fever",37
"persistent bleeding during bowel movements, moderate itching, mild anal pain",50
"mild ring shaped rash, persistent itching",19
"persistent itching, weight loss, mild abdominal swelling",48
"severe headache, mild skin rash",5
"scaly skin, persistent circular rash, persistent hair loss, mild itching",35
"mild vomiting, stomach cramps, persistent diarrhea",18
"bleeding gums, severe tooth loss, persistent weakness",34
"mild cold intolerance, persistent weight gain, mild fatigue",40
"mild difficulty seeing, persistent blurred vision, persistent distorted vision, severe vision loss",11
"moderate blurred vision, moderate night vision difficulty",44
"moderate headache, rash, moderate muscle pain",4
"moderate painful periods, mild pelvic pain",43
"severe diarrhea, mild stomach cramps, severe vomiting",18
persistent loss of appetite,6
"persistent bleeding gums, severe headache, severe joint pain",5
"mild rash, persistent fever, red eyes",37
"mild fatigue, severe weight gain, severe upper abdominal pain",20
"mild weight loss, severe loss of appetite, severe persistent abdominal pain",47
"severe circular rash, mild itching, moderate scaly skin",35
"moderate weight loss, moderate heat intolerance, persistent tremors",41
"persistent pale skin, dizziness, mild shortness of breath, mild rapid heartbeat",0
"severe joint pain, severe headache, mild skin rash",5
"weakness, mild tooth loss, bleeding gums",34
"moderate fever, moderate sore throat, mild body pain",14
"severe severe headache, persistent skin rash, severe high fever",5
"moderate dry skin, mild dizziness, persistent confusion",22
"persistent headache, persistent rash, muscle pain",4
"persistent cough, severe weight loss, persistent shortness of breath",49
"persistent fatigue, severe upper abdominal pain, persistent liver discomfort, mild weight gain",20
"mild fever, moderate weight loss, moderate night sweats, persistent chronic cough, moderate chest pain",3
"severe night sweats, persistent frequent infections",45
"persistent watery diarrhea, moderate vomiting, leg cramps, moderate severe dehydration",9
"liver discomfort, severe weight gain",20
"severe loss of appetite, persistent weight loss, persistent abdominal pain",47
"moderate severe dehydration, leg cramps, moderate watery diarrhea, severe vomiting",9
"persistent breast pain, mild skin changes, persistent breast lump",30
"itching, bleeding during bowel movements",50
"mild oral pain, mild difficulty swallowing",46
"severe slow wound healing, blurred vision",1
"mild cough, severe fever, severe body pain, severe sore throat",14
"moderate scaling, persistent red patches, severe itchy skin",51
"moderate tremors, persistent muscle stiffness, moderate balance problems, slow movement",29
"nausea, severe abdominal cramps, loose stools",7
"severe muscle pain, joint pain, moderate high fever, persistent rash, mild headache",4
"moderate vision loss, persistent distorted vision, blurred vision",11
"moderate abnormal bleeding, pain during intercourse",31
"moderate bleeding gums, moderate weakness, severe tooth loss, joint pain",34
"severe pale stools, yellowing of skin, moderate dark urine",53
"severe watery diarrhea, severe severe dehydration",9
"persistent stomach cramps, severe diarrhea, severe vomiting, mild nausea",18
"mild pale stools, persistent fatigue, moderate dark urine, severe yellowing of skin",53
"persistent stiffness, mild swelling, persistent joint pain",21
"mild difficulty breathing, fever, persistent productive cough",15
"mild fatigue, mild weight gain, moderate upper abdominal pain",20
"persistent fatigue, mild chronic cough, wheezing, mild shortness of breath",42
"mild indigestion, persistent burning stomach pain, persistent nausea",27
"fever, severe chest pain",3
"moderate burning stomach pain, moderate indigestion",27
"nausea, severe fatigue, moderate jaundice, persistent loss of appetite",24
"persistent memory loss, persistent difficulty thinking",26
"persistent chills, mild muscle pain, persistent headache",38
"mild night sweats, moderate fatigue, severe frequent infections",45
"severe swelling, stiffness, severe reduced mobility",21
"persistent abdominal pain, moderate loss of appetite, weight loss",47
"persistent shortness of breath, severe chronic cough",42
"moderate yellowing of skin, pale stools",53
